Latitude,Longitude,SiteName,Time,NowCast Concentration,NowCast AQI
35.755059,-118.417490,Unit1051,Thu 12/31/2020 10:00 PM EST,10.6,44
47.197609,-120.958056,N/A,Thu 12/31/2020 10:00 PM EST,1.9,8
40.800701,-124.158490,MMCA81040,Thu 12/31/2020 10:00 PM EST,20.9,70
45.206448,-112.642518,Dillon,Thu 12/31/2020 10:00 PM EST,2.0,8
48.607406,-112.363842,Cut Bank,Thu 12/31/2020 10:00 PM EST,2.2,9
48.551019,-109.677483,Havre,Thu 12/31/2020 10:00 PM EST,2.0,8
41.252257,-122.130203,MMCA81048,Thu 12/31/2020 10:00 PM EST,9.2,38
41.956315,-121.486409,MMCA81051,Thu 12/31/2020 10:00 PM EST,11.4,48
39.793371,-123.269541,MMCA82003,Thu 12/31/2020 10:00 PM EST,0.0,0
38.800385,-123.024838,MMCA82009,Thu 12/31/2020 10:00 PM EST,2.2,9
41.796445,-123.381057,N/A,Thu 12/31/2020 10:00 PM EST,9.3,39
41.840508,-123.197207,N/A,Thu 12/31/2020 10:00 PM EST,2.4,10
40.801109,-124.165871,N/A,Thu 12/31/2020 10:00 PM EST,17.2,62
39.263763,-123.759527,N/A,Thu 12/31/2020 10:00 PM EST,8.3,35
46.558085,-120.496819,Mobile-Yakima,Thu 12/31/2020 10:00 PM EST,2.8,12
