year,metric,BIA,BLM,USFS,FWS,NPS,State/Other,Total
2019,Fires,340,195,3103,579,176,177155,151542
2019,Acres,77637,74786,1232145,227835,209223,4236882,6058508
2018,Fires,289,201,3076,668,148,445953,450335
2018,Acres,82387,58307,1313182,264274,161676,4481149,6360975
2017,Fires,247,188,2323,586,138,198952,202434
2017,Acres,89330,77134,958264,178394,183029,4943229,6429229
2016,Fires,240,315,3061,757,214,78418,83005
2016,Acres,99712,64454,1284277,266769,79881,2220418,4015511
2015,Fires,245,334,2995,727,160,32802,37263
2015,Acres,77907,84399,993570,225890,33377,1543117,2958260
2014,Fires,288,429,3021,899,196,12211,17044
2014,Acres,109629,132311,1243739,201426,67937,634756,2389798
2013,Fires,202,328,2497,530,154,15053,18764
2013,Acres,80889,34492,1006955,123399,44347,709958,2000040
2012,Fires,201,304,2719,1001,203,12198,16626
2012,Acres,62529,39675,969560,234887,62357,602826,1971834
2011,Fires,321,383,2890,840,213,4025,8672
2011,Acres,111352,242658,960992,195055,72045,530709,2112811
2010,Fires,403,431,3766,1069,251,11007,16882
2010,Acres,124404,91622,1224638,281449,94500,446971,2423862
2009,Fires,2186,552,3795,1035,815,3854,12429
2009,Acres,151435,152420,1244342,272394,137719,507056,2531113
2008,Fires,254,447,3193,821,223,2731,7669
2008,Acres,86811,109128,955016,246617,105497,432582,1935001
2007,Fires,284,462,4771,1228,271,17057,24073
2007,Acres,83811,100121,1291889,405455,111879,1155912,3149067
2006,Fires,254,484,5138,1314,233,17006,24429
2006,Acres,86519,87169,1091714,291821,84524,1078798,2720545
2005,Fires,216,522,3782,1201,226,1809,7756
2005,Acres,64886,156037,1329439,267903,106921,385160,2310346
2004,Fires,303,434,4859,1147,235,1862,8840
2004,Acres,66408,126524,1501697,257813,157803,352041,2462286
2003,Fires,238,449,4134,1051,188,16808,22868
2003,Acres,64362,151999,1275310,286414,117287,940641,2836013
2002,Fires,174,319,4339,947,209,23800,29788
2002,Acres,71002,98772,1076811,248681,133763,1055777,2684806
2001,Fires,114,236,4058,729,63,709,5909
